# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageFastCacheHits,1736040606872000000,1736040618354000000,27796
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1736040606872000000,1736040618354000000,41967616
FilePageCacheLockFree.totalPagesRequested,1736040606872000000,1736040618354000000,270
FilePageCacheLockFree.totalNativeBytesReclaimed,1736040606872000000,1736040618354000000,24576
FilePageCacheLockFree.totalBytesWritten,1736040606872000000,1736040618354000000,16673
StorageLockContext.competingThreads.avg,1736040606872000000,1736040618354000000,0.0
FilePageCache.totalPageLoadsUs,1736040606872000000,1736040618354000000,467658
FilePageCacheLockFree.totalPagesWritten,1736040606872000000,1736040618354000000,3
StorageLockContext.competingThreads.max,1736040606872000000,1736040618354000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1736040606872000000,1736040618354000000,0
StorageLockContext.competingThreads.90P,1736040606872000000,1736040618354000000,0
DirectByteBufferAllocator.reclaimed,1736040606872000000,1736040618354000000,46
workspaceModel.mutableEntityStorage.entities.ms,1736040606872000000,1736040618354000000,1
workspaceModel.global.updates.count,1736040606872000000,1736040618354000000,0
jps.global.initialize.library.bridges.after.loading.ms,1736040606872000000,1736040618354000000,0
workspaceModel.load.cache.metadata.from.file.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1736040606872000000,1736040618354000000,0
jps.load.initial.state.ms,1736040606872000000,1736040618354000000,5
workspaceModel.mutableEntityStorage.remove.entity.ms,1736040606872000000,1736040618354000000,0
workspaceModel.load.cache.from.file.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1736040606872000000,1736040618354000000,0
workspaceModel.global.updates.ms,1736040606872000000,1736040618354000000,0
jps.global.handle.changed.events.ms,1736040606872000000,1736040618354000000,0
jps.global.get.library.by.name.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1736040606872000000,1736040618354000000,0
jps.global.handle.before.change.events.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1736040606872000000,1736040618354000000,0
workspaceModel.save.cache.to.file.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1736040606872000000,1736040618354000000,0
jps.library.entities.serializer.save.entities.ms,1736040606872000000,1736040618354000000,0
jps.save.global.entities.ms,1736040606872000000,1736040618354000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1736040606872000000,1736040618354000000,0
workspaceModel.sync.entities.ms,1736040606872000000,1736040618354000000,0
jps.library.entities.serializer.load.entities.ms,1736040606872000000,1736040618354000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1736040606872000000,1736040618354000000,0
workspaceModel.global.apply.state.to.project.ms,1736040606872000000,1736040618354000000,0
jps.app.storage.content.reader.load.component.ms,1736040606872000000,1736040618354000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1736040606872000000,1736040618354000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1736040606872000000,1736040618354000000,0
jps.global.get.library.ms,1736040606872000000,1736040618354000000,0
jps.global.get.libraries.ms,1736040606872000000,1736040618354000000,10
jps.global.initialize.library.bridges.ms,1736040606872000000,1736040618354000000,0
